Description,,Summary Amt.
Beginning balance as of 11/07/2025,,"5,437.89"
Total credits,,"1,911.30"
Total debits,,"-2,731.35"
Ending balance as of 12/10/2025,,"4,617.84"

Date,Description,Amount,Running Bal.
11/07/2025,Beginning balance as of 11/07/2025,,"5,437.89"
11/10/2025,"Zelle payment from JOHN DOE for "food"; Conf# 11bu1u1","5.00","5,442.89"
11/10/2025,"VENMO DES:PAYMENT ID:XXXXX INDN:JOHN DOE CO ID:XXXXX WEB","-10.00","5,432.89"
11/10/2025,"VENMO DES:PAYMENT ID:XXXXX INDN:JOHN DOE CO ID:XXXXX WEB","-7.20","5,425.69"
11/10/2025,"VENMO DES:PAYMENT ID:XXXXX INDN:JOHN DOE CO ID:XXXXX WEB","-0.60","5,425.09"
11/12/2025,"COSTCO WHSE#1111 11/11 PURCHASE CITY ST","-141.02","5,284.07"
11/12/2025,"WELLS FARGO CARD DES:CRD ID:XXXXXXXXXX INDN:JOHN DOE CO ID:XXXXX WEB","-481.86","4,802.21"
11/17/2025,"VENMO DES:CASHOUT ID:XXXXX INDN:JOHN DOE CO ID:XXXXX PPD","906.30","5,708.51"
11/17/2025,"COSTCO WHSE#1111 11/14 PURCHASE CITY ST","-4.44","5,704.07"
11/21/2025,"SimpleBills Prod DES:WEB PMTS ID:AAAA INDN:JOHN DOE CO ID:XXXXX WEB","-31.94","5,672.13"
11/25/2025,"WELLS FARGO CARD DES:CRD ID:XXXXXXXXXX INDN:JOHN DOE CO ID:XXXXX WEB","-474.74","5,197.39"
11/28/2025,"VENMO DES:PAYMENT ID:XXXXX INDN:JOHN DOE CO ID:XXXXX WEB","-49.50","5,147.89"
12/01/2025,"Online Recurring transfer from CHK 1111 Confirmation# aaaaaaa; DOE, JANE","1,000.00","6,147.89"
12/01/2025,"PAYPAL *NEWBALANCEA 11/27 PURCHASE 111-111-11111 MO","-93.51","6,054.38"
12/04/2025,"BILTPYMTS DES:RENT PMT ID:XXXXXXXXXX INDN:JOHN DOE CO ID:XXXXX WEB","-939.00","5,115.38"
12/08/2025,"PAYPAL DES:INST XFER ID:AMAZON INDN:JOHN DOE CO ID:PAYPALS WEB","-53.84","5,061.54"
12/08/2025,"PAYPAL DES:INST XFER ID:EBAY INDN:JOHN DOE CO ID:PAYPALS WEB","-46.13","5,015.41"
12/09/2025,"WELLS FARGO CARD DES:CRD ID:XXXXXXXXXX INDN:JOHN DOE CO ID:XXXXX WEB","-397.57","4,617.84"
